,lat,lon
469,51.569971,-0.2943083
470,52.4787612,-1.8994388
471,52.4797524,-1.8982843
472,52.4827054,-1.8936392
473,53.3683985,-1.4763689
474,53.4023035,-2.1640845
475,52.4801741,-1.8942554
476,51.4930597,-0.1383363
477,52.4370895,-1.9692769
478,52.4372905,-1.9688837
479,52.4383132,-1.9696333
480,57.1511727,-2.1028913
481,52.4783742,-1.8986442
482,52.4785831,-1.8979133
483,52.4783524,-1.8983319
484,52.4797899,-1.9016936
485,52.9482925,-1.1479334
486,52.476717,-1.8948339
487,52.4767251,-1.8946234
488,52.1377105,-0.4666523
489,52.4739871,-1.8963198
490,52.47466,-1.8966658
491,52.4740372,-1.8977393
492,52.4747075,-1.8976528
493,51.5143744,-0.1474868
494,51.5109866,-0.1285697
495,52.3994335,0.2659367
496,51.7144812,-0.4507874
497,51.5584313,-0.3610884
498,51.5647392,-0.3527439
499,52.4731363,-1.9170975
500,54.9050806,-1.382417
501,54.9054755,-1.3829343
502,51.9074433,-1.1506188
503,51.5630757,-0.3552689
504,51.5633875,-0.3554133
505,51.5930868,-0.1720163
506,53.3955482,-3.0553635
507,55.9438084,-3.2192069
508,51.5286291,-0.1440707
509,51.3634802,-0.1934092
510,53.1937889,-0.5808399
511,53.182851,-0.5876319
512,51.5108433,-0.0870349
513,53.3600408,-2.8306942
514,53.4737013,-2.1831089
515,56.2079869,-3.1696848
516,55.9160121,-3.2847898
517,55.9159883,-3.284895
518,51.5528693,-0.1230646
519,51.7361278,0.4668677
520,55.8786474,-4.3869713
521,53.9977999,-1.0578124
522,54.9647527,-1.7128761
523,54.9647469,-1.7115489
524,52.4281467,-1.4995617
525,56.1959269,-3.170565
526,52.4761417,-2.0380776
527,51.5139068,-0.321084
528,52.475398,-2.0393372
529,52.4762203,-2.0680084
530,56.1963541,-3.1671897
531,56.1962997,-3.170586
532,51.568505,-0.1111578
533,52.6000256,-1.0839721
534,52.6001338,-1.0836841
535,55.9425878,-3.1823623
536,55.9449628,-3.1837698
537,52.6420511,-1.092077
538,52.0340478,-0.7719014
539,52.642217,-1.0871956
540,57.1724636,-2.1153702
541,51.4543805,-0.037311
542,55.9462792,-3.1855698
543,55.9389843,-3.1797491
544,55.9392393,-3.179899
545,51.1241193,-0.0078374
546,51.5248154,-0.7466741
547,52.2060328,-2.1943479
548,52.1921994,-2.190179
549,52.9071185,-1.5031413
550,54.8254886,-7.4621674
551,55.8475004,-3.0533189
552,51.7455779,-2.2818508
553,54.9043788,-1.3854802
554,52.585085,-1.9848902
555,57.167,-2.0961013
556,55.9327931,-3.1375571
557,52.3429618,0.5111261
558,55.8780359,-3.1483955
559,55.9251467,-3.2601075
560,55.9224356,-3.2865528
561,55.9243862,-3.2775001
562,52.8978188,-1.4310668
563,52.4489189,-2.1408319
